id,original_title,director,revenue,type
1782.0,Afterwards,Gilles Bourdos,0.0,min revenue
1783.0,To End All Wars,David L. Cunningham,0.0,min revenue
1809.0,The Rules of Attraction,Roger Avary,0.0,min revenue
1847.0,The Long Goodbye,Robert Altman,0.0,min revenue
1872.0,Rise: Blood Hunter,Sebastian Gutierrez,0.0,min revenue
1874.0,The Color of Freedom,Bille August,0.0,min revenue
1884.0,The Ewok Adventure,John Korty,0.0,min revenue
1888.0,The Fortune Cookie,Billy Wilder,0.0,min revenue
1901.0,In Good Company,Paul Weitz,0.0,min revenue
1908.0,Inherit the Wind,Stanley Kramer,0.0,min revenue
1919.0,Away from Her,Sarah Polley,0.0,min revenue
1922.0,Irina Palm,Sam Garbarski,0.0,min revenue
1941.0,Exodus,Otto Preminger,0.0,min revenue
1942.0,Bunny Lake Is Missing,Otto Preminger,0.0,min revenue
1944.0,The Door in the Floor,Tod Williams,0.0,min revenue
1956.0,Gerry,Gus Van Sant,0.0,min revenue
1967.0,Ask the Dust,Robert Towne,0.0,min revenue
1992.0,Planet Terror,Robert Rodriguez,0.0,min revenue
1999.0,In the Bedroom,Todd Field,0.0,min revenue
2002.0,Une vieille maÃ®tresse,Catherine Breillat,0.0,min revenue
2003.0,Anatomie de l'enfer,Catherine Breillat,0.0,min revenue
2017.0,The House on Turk Street,Bob Rafelson,0.0,min revenue
2029.0,Tanguy,Ã‰tienne Chatiliez,0.0,min revenue
2042.0,Savior,Predrag AntonijeviÄ‡,0.0,min revenue
2045.0,Unforgettable,John Dahl,0.0,min revenue
2047.0,The Real McCoy,Russell Mulcahy,0.0,min revenue
2084.0,Birthday Girl,Jez Butterworth,0.0,min revenue
2087.0,The Getaway,Roger Donaldson,0.0,min revenue
2088.0,Romeo Is Bleeding,Peter Medak,0.0,min revenue
2098.0,Viva Las Vegas,George Sidney,0.0,min revenue
2107.0,L.A. Story,Mick Jackson,0.0,min revenue
2125.0,Wedlock,Lewis Teague,0.0,min revenue
2134.0,The Time Machine,George Pal,0.0,min revenue
2141.0,James Dean,Mark Rydell,0.0,min revenue
2144.0,One Night at McCool's,Harald Zwart,0.0,min revenue
2151.0,Man with the Screaming Brain,Bruce Campbell,0.0,min revenue
2153.0,The Driver,Walter Hill,0.0,min revenue
2165.0,Liberty Stands Still,Kari Skogland,0.0,min revenue
2168.0,2:37,Murali K. Thalluri,0.0,min revenue
2182.0,Attack of the Killer Tomatoes!,John De Bello,0.0,min revenue
2263.0,Music Box,Costa-Gavras,0.0,min revenue
2274.0,The Seeker: The Dark Is Rising,David L. Cunningham,0.0,min revenue
2287.0,Rize,David LaChapelle,0.0,min revenue
2290.0,Jakob the Liar,Peter Kassovitz,0.0,min revenue
2312.0,In the Name of the King: A Dungeon Siege Tale,Uwe Boll,0.0,min revenue
2313.0,Prime,Ben Younger,0.0,min revenue
2325.0,Leningrad,Aleksandr Buravsky,0.0,min revenue
2362.0,Westworld,Michael Crichton,0.0,min revenue
2370.0,Topaz,Alfred Hitchcock,0.0,min revenue
2447.0,The Nativity Story,Catherine Hardwicke,0.0,min revenue
2470.0,Belle Ã‰poque,Fernando Trueba,0.0,min revenue
2518.0,Hitler: The Rise of Evil,Christian Duguay,0.0,min revenue
2525.0,The Bible: In the Beginning...,John Huston,0.0,min revenue
2566.0,Le temps qui reste,FranÃ§ois Ozon,0.0,min revenue
2577.0,Code 46,Michael Winterbottom,0.0,min revenue
2593.0,Le Feu follet,Louis Malle,0.0,min revenue
2625.0,Mr. Jones,Mike Figgis,0.0,min revenue
2639.0,Deconstructing Harry,Woody Allen,0.0,min revenue
2657.0,Pleasantville,Gary Ross,0.0,min revenue
2661.0,Batman,Leslie H. Martinson,0.0,min revenue
2669.0,The Bounty,Roger Donaldson,0.0,min revenue
2670.0,Stephen King's It,Tommy Lee Wallace,0.0,min revenue
2690.0,Irma la Douce,Billy Wilder,0.0,min revenue
2699.0,Titanic,Robert Lieberman,0.0,min revenue
2728.0,Postal,Uwe Boll,0.0,min revenue
2742.0,Naked Lunch,David Cronenberg,0.0,min revenue
2750.0,24 Hour Party People,Michael Winterbottom,0.0,min revenue
2752.0,40 Days and 40 Nights,Michael Lehmann,0.0,min revenue
2759.0,"The Adventures of Priscilla, Queen of the Desert",Stephan Elliott,0.0,min revenue
2779.0,The Curse of the Jade Scorpion,Woody Allen,0.0,min revenue
2791.0,The Chronicles of Riddick: Dark Fury,Peter Chung,0.0,min revenue
2830.0,My Boss's Daughter,David Zucker,0.0,min revenue
2841.0,Un long dimanche de fianÃ§ailles,Jean-Pierre Jeunet,0.0,min revenue
2887.0,And the Band Played On,Roger Spottiswoode,0.0,min revenue
2891.0,An Angel at My Table,Jane Campion,0.0,min revenue
2895.0,The Apostle,Robert Duvall,0.0,min revenue
2926.0,The Three Musketeers,Richard Lester,0.0,min revenue
2927.0,Moon 44,Roland Emmerich,0.0,min revenue
2979.0,Return of the Ghostbusters,Hank Braxtan,0.0,min revenue
2982.0,The Lost World,Irwin Allen,0.0,min revenue
3001.0,How to Steal a Million,William Wyler,0.0,min revenue
3003.0,The Lost World,Stuart Orme,0.0,min revenue
3009.0,Le procÃ¨s,Orson Welles,0.0,min revenue
3043.0,Flesh for Frankenstein,Paul Morrissey,0.0,min revenue
3053.0,Dance of the Vampires,Roman Polanski,0.0,min revenue
3057.0,Frankenstein,Kevin Connor,0.0,min revenue
3064.0,Chances Are,Emile Ardolino,0.0,min revenue
3065.0,Mystery Science Theater 3000: The Movie,Jim Mallon,0.0,min revenue
3092.0,Seance on a Wet Afternoon,Bryan Forbes,0.0,min revenue
3101.0,I Love You to Death,Lawrence Kasdan,0.0,min revenue
3104.0,Frankenstein Created Woman,Terence Fisher,0.0,min revenue
3117.0,Frankenstein and the Monster from Hell,Terence Fisher,0.0,min revenue
3121.0,Nashville,Robert Altman,0.0,min revenue
3133.0,Badlands,Terrence Malick,0.0,min revenue
3171.0,Bambi Meets Godzilla,Marv Newland,0.0,min revenue
3179.0,Beavis and Butt-Head Do America,Mike Judge,0.0,min revenue
3293.0,Pirates of Silicon Valley,Martyn Burke,0.0,min revenue
3472.0,Dirty Pretty Things,Stephen Frears,0.0,min revenue
3482.0,The Train,John Frankenheimer|Arthur Penn,0.0,min revenue
3511.0,The BrÃ¸ken,Sean Ellis,0.0,min revenue
3513.0,Legionnaire,Peter MacDonald,0.0,min revenue
3527.0,Don't Come Knocking,Wim Wenders,0.0,min revenue
3558.0,"Girl, Interrupted",James Mangold,0.0,min revenue
3587.0,Bogus,Norman Jewison,0.0,min revenue
3591.0,One Million Years B.C.,Don Chaffey,0.0,min revenue
3602.0,I'll Always Know What You Did Last Summer,Sylvain White,0.0,min revenue
3681.0,What's New Pussycat?,Clive Donner,0.0,min revenue
3687.0,Flesh Gordon,Michael Benveniste|Howard Ziehm,0.0,min revenue
4025.0,The Prize,Mark Robson,0.0,min revenue
4032.0,My Girl,Howard Zieff,0.0,min revenue
4170.0,Trade,Marco Kreuzpaintner,0.0,min revenue
4199.0,The Man in the Iron Mask,Mike Newell,0.0,min revenue
4204.0,$5 a Day,Nigel Cole,0.0,min revenue
4226.0,Shriek If You Know What I Did Last Friday the Thirteenth,John Blanchard,0.0,min revenue
4252.0,Chalte Chalte,Aziz Mirza,0.0,min revenue
4255.0,The Party at Kitty and Stud's,Morton Lewis,0.0,min revenue
4271.0,La Vie est un long fleuve tranquille,Ã‰tienne Chatiliez,0.0,min revenue
4296.0,Millennium,Michael Anderson,0.0,min revenue
4351.0,Bordertown,Gregory Nava,0.0,min revenue
4369.0,Juste une question d'amour,Christian Faure,0.0,min revenue
4398.0,Lissi und der wilde Kaiser,Michael Herbig,0.0,min revenue
4407.0,The Three Investigators and The Secret Of Skeleton Island,Florian Baxmeyer|Jan Sebastian Ballhaus,0.0,min revenue
4475.0,The Private Lives of Pippa Lee,Rebecca Miller,0.0,min revenue
4520.0,Sleuth,Kenneth Branagh,0.0,min revenue
4539.0,Hearts of Darkness: A Filmmaker's Apocalypse,Eleanor Coppola|Fax Bahr|George Hickenlooper,0.0,min revenue
4543.0,The Meaning of Life,Terry Jones|Terry Gilliam,0.0,min revenue
4546.0,The Count of Monte-Cristo,David Greene,0.0,min revenue
4561.0,The Story of O,Just Jaeckin,0.0,min revenue
4592.0,Carolina,Marleen Gorris,0.0,min revenue
4612.0,Absolon,David DeBartolomÃ©,0.0,min revenue
4613.0,Scorched,Gavin Grazer,0.0,min revenue
4627.0,Krabat,Marco Kreuzpaintner,0.0,min revenue
4641.0,Read It and Weep,Paul Hoen,0.0,min revenue
4688.0,Across the Universe,Julie Taymor,0.0,min revenue
4772.0,Cul-de-sac,Roman Polanski,0.0,min revenue
4780.0,Obsession,Brian De Palma,0.0,min revenue
4787.0,Cassandra's Dream,Woody Allen,0.0,min revenue
4816.0,Ghost Dog: The Way of the Samurai,Jim Jarmusch,0.0,min revenue
4832.0,The 11th Hour,Nadia Conners|Leila Conners,0.0,min revenue
4879.0,Ten Little Indians,George Pollock,0.0,min revenue
4889.0,Billion Dollar Brain,Ken Russell,0.0,min revenue
4909.0,The Day of the Jackal,Fred Zinnemann,0.0,min revenue
4910.0,The Man Who Haunted Himself,Basil Dearden,0.0,min revenue
4917.0,A Boy and His Dog,L.Q. Jones,0.0,min revenue
4918.0,The Fourth Protocol,John Mackenzie,0.0,min revenue
4923.0,Zardoz,John Boorman,0.0,min revenue
4939.0,Send Me No Flowers,Norman Jewison,0.0,min revenue
4953.0,Be Kind Rewind,Michel Gondry,0.0,min revenue
4954.0,Drop Zone,John Badham,0.0,min revenue
4960.0,"Synecdoche, New York",Charlie Kaufman,0.0,min revenue
4965.0,Impostor,Gary Fleder,0.0,min revenue
4975.0,Love Is the Devil: Study for a Portrait of Francis Bacon,John Maybury,0.0,min revenue
4998.0,Import/Export,Ulrich Seidl,0.0,min revenue
5052.0,Topkapi,Jules Dassin,0.0,min revenue
5060.0,Carry On Screaming!,Gerald Thomas,0.0,min revenue
5062.0,Garde Ã  vue,Claude Miller,0.0,min revenue
5064.0,Carry On Doctor,Gerald Thomas,0.0,min revenue
5065.0,Carry On Cowboy,Gerald Thomas,0.0,min revenue
5066.0,Carry On Cleo,Gerald Thomas,0.0,min revenue
5072.0,Severance,Christopher Smith,0.0,min revenue
5126.0,Martian Child,Menno Meyjes,0.0,min revenue
5145.0,The Business,Nick Love,0.0,min revenue
5157.0,Beneath the Valley of the Ultra-Vixens,Russ Meyer,0.0,min revenue
5171.0,Saint-Jacques... La Mecque,Coline Serreau|Dominique FurgÃ©,0.0,min revenue
5179.0,The Prime of Miss Jean Brodie,Ronald Neame,0.0,min revenue
5203.0,Wild Orchid,Zalman King,0.0,min revenue
5204.0,Kontroll,NimrÃ³d Antal,0.0,min revenue
5205.0,Pumping Iron,George Butler|Robert Fiore,0.0,min revenue
5227.0,Hercules in New York,Arthur Allan Seidelman,0.0,min revenue
5228.0,Stay Hungry,Bob Rafelson,0.0,min revenue
5237.0,Dust Devil,Richard Stanley,0.0,min revenue
5257.0,The Dish,Rob Sitch,0.0,min revenue
5319.0,Hum Dil De Chuke Sanam,Sanjay Leela Bhansali,0.0,min revenue
5353.0,The Hunting Party,Richard Shepard,0.0,min revenue
5393.0,Happily N'Ever After,Paul Bolger|Yvette Kaplan|Greg Tiernan,0.0,min revenue
5458.0,Cruel Intentions 2,Roger Kumble,0.0,min revenue
5460.0,Cruel Intentions 3,Scott Ziehl,0.0,min revenue
5516.0,The Ladykillers,Ethan Coen|Joel Coen,0.0,min revenue
5552.0,Immortel (ad vitam),Enki Bilal,0.0,min revenue
5595.0,La HabitaciÃ³n de Fermat,Luis Piedrahita|Rodrigo SopeÃ±a,0.0,min revenue
5620.0,"Nachts, wenn Dracula erwacht",JesÃºs Franco,0.0,min revenue
5651.0,Up!,Russ Meyer,0.0,min revenue
5653.0,Luther,Eric Till,0.0,min revenue
5677.0,Trancers,Charles Band,0.0,min revenue
5709.0,Amazon Women on the Moon,Joe Dante|Carl Gottlieb|Peter Horton|John Landis|Robert K. Weiss,0.0,min revenue
5722.0,Beyond the Valley of the Dolls,Russ Meyer,0.0,min revenue
5725.0,Supervixens,Russ Meyer,0.0,min revenue
5764.0,Princess of Thieves,Peter Hewitt,0.0,min revenue
5765.0,Knight Moves,Carl Schenkel,0.0,min revenue
5767.0,Two for the Road,Stanley Donen,0.0,min revenue
5769.0,Tom Jones,Tony Richardson,0.0,min revenue
5833.0,Casper's Haunted Christmas,Owen Hurley,0.0,min revenue
5896.0,Bolero,John Derek,0.0,min revenue
5917.0,Tom Horn,William Wiard,0.0,min revenue
5920.0,Le Mans,Lee H. Katzin,0.0,min revenue
5921.0,Nevada Smith,Henry Hathaway,0.0,min revenue
5922.0,The Hunter,Buzz Kulik,0.0,min revenue
5937.0,John Rabe,Florian Gallenberger,0.0,min revenue
5951.0,The Jane Austen Book Club,Robin Swicord,0.0,min revenue
5968.0,The Woman in Red,Gene Wilder,0.0,min revenue
5971.0,We're No Angels,Neil Jordan,0.0,min revenue
6007.0,Elling,Petter NÃ¦ss,0.0,min revenue
6016.0,The Good Thief,Neil Jordan,0.0,min revenue
6020.0,Sorority Boys,Wallace Wolodarsky,0.0,min revenue
6022.0,Evening,Lajos Koltai,0.0,min revenue
6037.0,Murder by Death,Robert Moore,0.0,min revenue
6058.0,The Patriot,Dean Semler,0.0,min revenue
6071.0,Kiss of Death,Barbet Schroeder,0.0,min revenue
6106.0,Salvador,Oliver Stone,0.0,min revenue
